"STATISTIC Label","Month","Consumer Item","UNIT","VALUE"
"National Average Price","2017 February","Diesel per litre","Euro","1.271"
"National Average Price","2017 February","Petrol - unleaded per litre","Euro","1.376"
"National Average Price","2017 March","Diesel per litre","Euro","1.267"
"National Average Price","2017 March","Petrol - unleaded per litre","Euro","1.374"
"National Average Price","2017 April","Diesel per litre","Euro","1.333"
"National Average Price","2017 April","Petrol - unleaded per litre","Euro","1.45"
"National Average Price","2017 May","Diesel per litre","Euro","1.247"
"National Average Price","2017 May","Petrol - unleaded per litre","Euro","1.36"
"National Average Price","2017 June","Diesel per litre","Euro","1.221"
"National Average Price","2017 June","Petrol - unleaded per litre","Euro","1.342"
"National Average Price","2017 July","Diesel per litre","Euro","1.196"
"National Average Price","2017 July","Petrol - unleaded per litre","Euro","1.32"
"National Average Price","2017 August","Diesel per litre","Euro","1.198"
"National Average Price","2017 August","Petrol - unleaded per litre","Euro","1.32"
"National Average Price","2017 September","Diesel per litre","Euro","1.224"
"National Average Price","2017 September","Petrol - unleaded per litre","Euro","1.352"
"National Average Price","2017 October","Diesel per litre","Euro","1.234"
"National Average Price","2017 October","Petrol - unleaded per litre","Euro","1.35"
"National Average Price","2017 November","Diesel per litre","Euro","1.267"
"National Average Price","2017 November","Petrol - unleaded per litre","Euro","1.379"
"National Average Price","2017 December","Diesel per litre","Euro","1.27"
"National Average Price","2017 December","Petrol - unleaded per litre","Euro","1.378"
"National Average Price","2018 January","Diesel per litre","Euro","1.273"
"National Average Price","2018 January","Petrol - unleaded per litre","Euro","1.377"
"National Average Price","2018 February","Diesel per litre","Euro","1.271"
"National Average Price","2018 February","Petrol - unleaded per litre","Euro","1.376"
"National Average Price","2018 March","Diesel per litre","Euro","1.261"
"National Average Price","2018 March","Petrol - unleaded per litre","Euro","1.364"
"National Average Price","2018 April","Diesel per litre","Euro","1.271"
"National Average Price","2018 April","Petrol - unleaded per litre","Euro","1.379"
"National Average Price","2018 May","Diesel per litre","Euro","1.311"
"National Average Price","2018 May","Petrol - unleaded per litre","Euro","1.413"
"National Average Price","2018 June","Diesel per litre","Euro","1.37"
"National Average Price","2018 June","Petrol - unleaded per litre","Euro","1.47"
"National Average Price","2018 July","Diesel per litre","Euro","1.364"
"National Average Price","2018 July","Petrol - unleaded per litre","Euro","1.465"
"National Average Price","2018 August","Diesel per litre","Euro","1.359"
"National Average Price","2018 August","Petrol - unleaded per litre","Euro","1.465"
"National Average Price","2018 September","Diesel per litre","Euro","1.367"
"National Average Price","2018 September","Petrol - unleaded per litre","Euro","1.472"
"National Average Price","2018 October","Diesel per litre","Euro","1.406"
"National Average Price","2018 October","Petrol - unleaded per litre","Euro","1.492"
"National Average Price","2018 November","Diesel per litre","Euro","1.406"
"National Average Price","2018 November","Petrol - unleaded per litre","Euro","1.483"
"National Average Price","2018 December","Diesel per litre","Euro","1.365"
"National Average Price","2018 December","Petrol - unleaded per litre","Euro","1.427"
"National Average Price","2019 January","Diesel per litre","Euro","1.286"
"National Average Price","2019 January","Petrol - unleaded per litre","Euro","1.339"
"National Average Price","2019 February","Diesel per litre","Euro","1.298"
"National Average Price","2019 February","Petrol - unleaded per litre","Euro","1.341"
"National Average Price","2019 March","Diesel per litre","Euro","1.329"
